Rk,School,From,To,Yrs,G,W,L,T,Pct,G,W,L,T,Pct,SRS,SOS,AP,CC,Notes
114,Iowa,1899,2023,125,1253,663,548,34,.546,36,18,17,1,.514,6.83,5.13,27,11,record adjusted to 664-547-34 by NCAA
115,Iowa Pre-Flight,1942,1944,3,31,26,5,0,.839,0,0,0,0,,18.05,5.72,2,0,
116,Iowa State,1895,2023,126,1263,545,671,45,.450,18,5,13,0,.278,0.31,1.47,3,2,record adjusted to 546-670-45 by NCAA
117,Jackson State,1977,1977,1,11,8,3,0,.727,0,0,0,0,,-1.31,-10.40,0,0,
118,Jacksonville Naval Air Station,1942,1942,1,12,9,3,0,.750,0,0,0,0,,6.46,-3.13,0,0,
119,Jacksonville State,2023,2023,1,13,9,4,0,.692,1,1,0,,1.000,0.68,-6.01,0,0,
120,James Madison,2022,2023,2,24,19,5,0,.792,1,0,1,,.000,6.95,-3.87,0,0,
121,Kansas,1901,2023,123,1258,547,656,54,.457,14,7,7,0,.500,0.92,2.48,8,5,
122,Kansas State,1912,2023,112,1169,510,624,35,.451,25,11,14,0,.440,-0.05,2.01,15,4,record adjusted to 511-624-34 by NCAA
123,Kent State,1962,2023,62,690,226,457,5,.332,4,1,3,0,.250,-12.44,-6.62,0,1,
124,Kentucky,1915,2023,108,1142,528,578,36,.478,23,12,11,0,.522,3.89,3.96,10,2,record adjusted to 529-577-36 by NCAA
125,Knox,1899,1905,5,52,27,23,2,.538,0,0,0,0,,-1.90,-3.67,0,0,
126,Lafayette,1882,1946,47,440,256,160,24,.609,0,0,0,0,,1.07,-2.53,0,0,
127,Lake Forest,1893,1899,5,47,17,24,6,.426,0,0,0,0,,-7.97,-3.29,0,0,
128,Lamar,1973,1981,9,97,33,60,4,.361,0,0,0,0,,-12.77,-7.68,0,0,
129,Lawrence,1905,1905,1,10,7,3,0,.700,0,0,0,0,,3.09,-1.91,0,0,
130,Lehigh,1884,1965,43,412,195,197,20,.498,0,0,0,0,,-2.98,-2.44,0,0,
131,Liberty,2018,2023,6,76,53,23,0,.697,5,3,2,0,.600,-0.40,-6.82,2,1,
132,Lombard,1903,1903,1,8,5,3,0,.625,0,0,0,0,,-2.35,-2.72,0,0,
133,Long Beach State,1969,1991,23,257,129,126,2,.506,1,0,0,1,.500,-7.67,-7.16,0,3,record adjusted to 130-125-2 by NCAA
134,Louisiana,1973,2023,51,592,272,315,5,.464,11,7,4,0,.636,-8.23,-5.88,2,6,record adjusted to 250-315-5 by NCAA
135,Louisiana Tech,1975,2023,43,506,253,246,7,.507,13,8,4,1,.654,-4.45,-4.71,0,4,record adjusted to 254-245-7 by NCAA
136,Louisiana-Monroe,1975,2023,37,428,149,277,2,.350,1,0,1,0,.000,-11.60,-5.19,0,1,
137,Louisville,1962,2023,62,719,385,326,7,.541,25,11,13,1,.460,-0.46,-1.72,12,8,record adjusted to 387-324-7 by NCAA
138,Loyola (LA),1934,1936,3,28,10,17,1,.375,0,0,0,0,,-6.61,-3.13,0,0,
139,Loyola Marymount,1933,1951,13,127,66,57,4,.535,0,0,0,0,,-2.09,-4.02,0,0,
140,LSU,1902,2023,119,1283,813,421,47,.653,55,30,24,1,.555,9.99,4.52,44,12,record adjusted to 778-417-47 by NCAA
141,Lubbock Field,1944,1944,1,9,5,4,0,.556,0,0,0,0,,-1.45,-3.01,0,0,
142,Maine,1904,1905,2,16,8,7,1,.531,0,0,0,0,,-0.56,-0.88,0,0,
143,Manhattan,1936,1942,7,63,30,31,2,.492,0,0,0,0,,-0.84,0.07,0,0,
144,March Field,1943,1944,2,21,16,3,2,.810,0,0,0,0,,5.33,-5.69,2,0,
145,Mare Island Marines,1917,1918,2,19,18,1,0,.947,2,1,1,0,.500,13.72,-5.57,0,0,
146,Marquette,1927,1960,34,306,131,160,15,.453,1,0,1,0,.000,-0.76,0.34,1,0,
147,Marshall,1962,2023,47,550,261,284,3,.479,19,13,6,0,.684,-7.82,-5.97,3,6,
148,Maryland,1917,2023,107,1150,585,534,30,.522,30,14,14,2,.500,2.49,1.82,18,11,
149,Maryville (TN),1906,1907,2,13,3,8,2,.308,0,0,0,0,,-9.89,0.71,0,0,
150,Massachusetts,1882,2023,26,252,71,175,6,.294,0,0,0,0,,-11.42,-3.80,0,0,
151,McNeese State,1975,1981,7,82,57,21,2,.725,3,1,2,0,.333,-1.17,-7.87,0,3,
152,Memphis,1960,2023,64,724,357,358,8,.499,15,7,8,0,.467,-0.84,-1.63,3,5,record adjusted to 358-357-8 by NCAA
153,Mercer,1909,1936,15,138,55,74,9,.431,0,0,0,0,,-3.92,-2.03,0,0,
154,Merchant Marine,1945,1947,3,30,11,19,0,.367,0,0,0,0,,-13.91,-8.35,0,0,
155,Miami (FL),1936,2023,87,981,614,353,12,.633,42,19,23,0,.452,8.68,3.56,33,9,
156,Miami (OH),1962,2023,62,703,384,301,15,.559,13,6,7,0,.462,-3.68,-5.94,4,11,record adjusted to 385-300-15 by NCAA
157,Michigan,1881,2023,134,1380,978,345,35,.733,52,23,29,0,.442,13.84,5.06,64,45,
158,Michigan State,1918,2023,99,1055,607,405,30,.597,30,14,16,0,.467,8.97,4.88,28,9,record adjusted to 602-410-30 by NCAA
159,Middle Tennessee State,1999,2023,25,303,147,156,0,.485,10,4,6,0,.400,-6.65,-5.80,0,2,
160,Millsaps,1924,1924,1,9,3,5,1,.389,0,0,0,0,,-10.12,-7.78,0,0,
161,Minnesota,1892,2023,132,1295,717,534,42,.571,24,12,12,0,.500,8.18,4.85,15,18,
162,Mississippi College,1911,1924,10,81,38,37,6,.506,0,0,0,0,,-3.35,-2.44,0,0,
163,Mississippi State,1902,2023,119,1220,603,579,37,.510,26,15,11,0,.577,3.46,3.07,15,1,record adjusted to 586-597-36 by NCAA
164,Mississippi Valley State,1977,1977,1,10,5,5,0,.500,0,0,0,0,,-11.39,-10.79,0,0,
165,Missouri,1901,2023,122,1271,663,558,50,.541,36,16,20,0,.444,4.84,3.22,19,12,record adjusted to 665-556-50 by NCAA
166,MIT,1882,1899,12,77,27,48,2,.364,0,0,0,0,,-5.20,0.64,0,0,
167,Montana,1917,1962,38,332,123,199,10,.386,0,0,0,0,,-8.86,-4.60,0,0,
168,Montana State,1923,1947,17,140,65,66,9,.496,1,0,0,1,.500,-7.34,-6.98,0,2,
169,Nashville,1904,1904,1,9,1,7,1,.167,0,0,0,0,,-6.15,4.40,0,0,
170,Navy,1891,2023,130,1340,705,581,52,.546,24,12,11,1,.521,3.83,1.38,14,0,
171,Nebraska,1900,2023,124,1331,882,399,38,.683,53,26,27,0,.491,10.50,3.75,48,43,record adjusted to 883-399-37 by NCAA
172,Nevada,1946,2023,37,439,232,207,0,.528,19,7,12,0,.368,-4.23,-5.56,1,7,
173,Nevada-Las Vegas,1978,2023,46,535,199,332,3,.375,5,3,2,0,.600,-9.32,-3.93,0,1,record adjusted to 181-350-3 by NCAA
174,New Hampshire,1904,1905,2,15,4,9,2,.333,0,0,0,0,,-10.04,-4.12,0,0,
175,New Mexico,1931,2023,92,1003,411,576,17,.418,12,4,7,1,.375,-6.96,-4.00,0,4,
176,New Mexico State,1931,2023,90,961,336,611,14,.357,6,4,1,1,.750,-13.15,-7.73,1,4,record adjusted to 337-610-14 by NCAA
177,New York University,1927,1952,24,205,97,99,9,.495,0,0,0,0,,-4.24,-3.23,0,0,
178,Newberry,1914,1925,11,86,34,48,4,.419,0,0,0,0,,-9.95,-5.22,0,0,
179,Norman Naval Air Station,1944,1944,1,6,6,0,0,1.000,0,0,0,0,,18.01,3.51,1,0,
180,North Carolina,1902,2023,120,1278,685,541,48,.557,38,15,23,0,.395,4.75,2.82,17,7,record adjusted to 669-541-48 by NCAA
181,North Carolina Pre-Flight,1942,1943,2,18,10,6,2,.611,0,0,0,0,,3.20,2.00,0,0,
182,North Carolina State,1902,2023,118,1240,614,579,46,.514,35,17,17,1,.500,1.74,1.35,15,7,
183,North Texas,1953,2023,59,659,284,365,11,.439,12,2,10,0,.167,-7.90,-5.18,0,9,record adjusted to 287-362-11 by NCAA
184,Northern Arizona,1931,1952,19,152,49,91,12,.362,0,0,0,0,,-17.76,-11.75,0,0,
185,Northern Colorado,1923,1937,15,115,51,57,7,.474,0,0,0,0,,-10.73,-9.63,0,1,
186,Northern Illinois,1968,2023,56,650,313,333,4,.485,15,5,10,0,.333,-8.01,-6.79,1,6,
187,Northwestern,1892,2023,130,1295,557,695,40,.447,17,7,10,0,.412,2.84,5.42,13,8,record adjusted to 558-694-40 by NCAA
188,Northwestern State,1976,1979,4,41,19,22,0,.463,0,0,0,0,,-12.36,-8.13,0,0,
189,Notre Dame,1899,2023,117,1248,892,323,33,.728,42,21,21,0,.500,14.75,6.03,59,0,record adjusted to 871-323-33 by NCAA
190,Oglethorpe,1919,1925,7,69,31,35,3,.471,0,0,0,0,,-3.68,-1.98,0,0,
191,Ohio,1962,2023,62,702,313,380,9,.452,15,7,8,0,.467,-8.39,-6.67,1,3,
192,Ohio State,1904,2023,112,1188,856,266,36,.755,56,27,29,0,.482,15.29,5.97,63,40,record adjusted to 844-265-36 by NCAA
193,Oklahoma,1903,2023,115,1270,891,321,47,.726,57,31,25,1,.553,12.39,3.59,62,49,
194,Oklahoma State,1914,2023,110,1186,604,535,41,.529,34,22,12,0,.647,2.74,1.97,17,10,
195,Old Dominion,2014,2023,10,111,46,65,0,.414,3,1,2,0,.333,-9.12,-4.71,0,0,
196,Ole Miss,1902,2023,118,1246,679,528,34,.561,41,26,15,0,.634,4.99,2.86,27,6,record adjusted to 650-524-34 by NCAA
197,Oregon,1916,2023,106,1141,627,469,34,.570,37,17,20,0,.459,5.68,3.29,20,13,record adjusted to 628-468-34 by NCAA
198,Oregon State,1916,2023,106,1122,492,590,36,.456,18,10,8,0,.556,1.81,3.54,11,5,record adjusted to 496-586-36 by NCAA
199,Pacific,1943,1995,47,498,209,280,9,.429,2,1,1,0,.500,-7.80,-5.74,1,0,record adjusted to 211-278-9 by NCAA
200,Penn State,1889,2023,130,1346,908,401,37,.688,53,31,20,2,.604,9.32,2.31,45,4,
201,Pennsylvania,1876,1981,105,1027,618,369,40,.621,1,0,1,0,.000,3.33,-0.42,7,1,
202,Phillips,1920,1921,2,19,7,8,4,.474,0,0,0,0,,-6.92,-5.01,0,0,
203,Pitt,1905,2023,119,1266,712,508,37,.581,37,15,22,0,.405,7.15,4.12,21,3,record adjusted to 713-507-37 by NCAA
204,Portland,1946,1947,2,19,3,15,1,.184,0,0,0,0,,-21.01,-10.83,0,0,
205,Prairie View A&M,1977,1977,1,11,3,8,0,.273,0,0,0,0,,-19.35,-10.35,0,0,
206,Presbyterian,1915,1945,16,127,58,63,6,.480,0,0,0,0,,-5.56,-4.99,0,0,
207,Princeton,1869,1981,109,918,637,233,48,.720,0,0,0,0,,6.03,-1.29,4,5,
208,Purdue,1892,2023,132,1279,630,593,48,.515,21,11,10,0,.524,5.57,4.56,16,8,record adjusted to 631-592-48 by NCAA
209,Quantico Marines,1965,1965,1,10,6,4,0,.600,0,0,0,0,,-6.22,-12.12,0,0,
210,Randolph Field,1944,1944,1,12,12,0,0,1.000,0,0,0,0,,16.14,-5.11,1,0,
211,Regis (CO),1924,1930,3,25,9,16,0,.360,0,0,0,0,,-12.84,-8.99,0,0,
212,Rhodes,1939,1939,1,9,3,5,1,.389,0,0,0,0,,-5.39,-2.50,0,0,
213,Rice,1914,2023,110,1166,484,651,32,.428,14,7,7,0,.500,-0.56,2.30,7,8,record adjusted to 485-650-32 by NCAA
214,Richmond,1909,1983,58,565,233,305,27,.436,2,1,1,0,.500,-8.46,-6.07,0,4,
215,Rutgers,1869,2023,109,1038,499,516,22,.492,12,7,5,0,.583,-3.11,-2.66,3,1,record adjusted to 500-515-22 by NCAA
216,Saint Louis,1907,1949,18,173,82,78,13,.512,0,0,0,0,,-6.36,-6.99,0,0,
217,Saint Mary's (CA),1930,1950,20,182,101,70,11,.585,3,1,2,0,.333,2.63,0.03,1,0,
218,Saint Mary's (CA) Pre-Flight,1942,1944,3,26,13,11,2,.538,0,0,0,0,,2.43,-1.77,1,0,
219,Sam Houston,2023,2023,1,12,3,9,0,.250,,,,,,-10.17,-4.50,0,0,
220,Samford,1907,1924,11,95,27,57,11,.342,0,0,0,0,,-8.87,-2.41,0,0,
