season,match_week,team_id,team_name,position,played,won,drawn,lost,goals_for,goals_against,goal_difference,points,home_played,home_won,home_drawn,home_lost,home_goals_for,home_goals_against,home_goal_difference,home_points,away_played,away_won,away_drawn,away_lost,away_goals_for,away_goals_against,away_goal_difference,away_points,annotation_types,annotation_destinations,stadium_name,stadium_city
2017/18,9,12,Manchester United,2,9,6,2,1,22,4,18,20,4,4,0,0,14,0,14,12,5,2,2,1,8,4,4,8,Q,EU_CL,Old Trafford,Manchester
2017/18,9,21,Tottenham Hotspur,3,9,6,2,1,19,6,13,20,5,2,2,1,7,4,3,8,4,4,0,0,12,2,10,12,Q,EU_CL,Wembley Stadium,London
2017/18,9,4,Chelsea,4,9,5,1,3,17,10,7,16,5,2,1,2,8,6,2,7,4,3,0,1,9,4,5,9,Q,EU_CL,Stamford Bridge,London
2017/18,9,1,Arsenal,5,9,5,1,3,17,12,5,16,4,4,0,0,11,3,8,12,5,1,1,3,6,9,-3,4,Q,EU_EL,Emirates Stadium,London
2017/18,9,33,Watford,6,9,4,3,2,15,17,-2,15,4,1,2,1,5,10,-5,5,5,3,1,1,10,7,3,10,,,Vicarage Road,Watford
2017/18,9,23,Newcastle United,7,9,4,2,3,10,8,2,14,5,3,1,1,7,4,3,10,4,1,1,2,3,4,-1,4,,,St. James' Park,Newcastle
2017/18,9,43,Burnley,8,9,3,4,2,8,9,-1,13,4,1,2,1,2,2,0,5,5,2,2,1,6,7,-1,8,,,Turf Moor,Burnley
2017/18,9,10,Liverpool,9,9,3,4,2,14,16,-2,13,4,2,2,0,6,1,5,8,5,1,2,2,8,15,-7,5,,,Anfield,Liverpool
2017/18,9,20,Southampton,10,9,3,3,3,8,9,-1,12,6,2,2,2,6,7,-1,8,3,1,1,1,2,2,0,4,,,St. Mary's Stadium,Southampton
2017/18,9,159,Huddersfield Town,11,9,3,3,3,7,10,-3,12,5,2,2,1,4,6,-2,8,4,1,1,2,3,4,-1,4,,,John Smith's Stadium,Huddersfield
2017/18,9,131,Brighton & Hove Albion,12,9,3,2,4,9,10,-1,11,4,2,1,1,5,4,1,7,5,1,1,3,4,6,-2,4,,,AMEX Stadium,Falmer
2017/18,9,36,West Bromwich Albion,13,9,2,4,3,7,10,-3,10,4,1,3,0,4,3,1,6,5,1,1,3,3,7,-4,4,,,The Hawthorns,West Bromwich
2017/18,9,26,Leicester City,14,9,2,3,4,12,14,-2,9,4,1,1,2,6,6,0,4,5,1,2,2,6,8,-2,5,,,King Power Stadium,Leicester
2017/18,9,45,Swansea City,15,9,2,2,5,6,10,-4,8,5,1,0,4,4,9,-5,3,4,1,2,1,2,1,1,5,,,Liberty Stadium,Swansea
2017/18,9,25,West Ham United,16,9,2,2,5,8,17,-9,8,4,2,0,2,5,6,-1,6,5,0,2,3,3,11,-8,2,,,London Stadium,London
2017/18,9,42,Stoke City,17,9,2,2,5,10,20,-10,8,5,2,1,2,6,9,-3,7,4,0,1,3,4,11,-7,1,,,Britannia Stadium,Stoke
2017/18,9,7,Everton,18,9,2,2,5,7,18,-11,8,5,2,0,3,5,10,-5,6,4,0,2,2,2,8,-6,2,R,EN_CH,Goodison Park,Liverpool
2017/18,9,127,Bournemouth,19,9,2,1,6,6,13,-7,7,4,1,1,2,3,5,-2,4,5,1,0,4,3,8,-5,3,R,EN_CH,Vitality Stadium,Bournemouth
2017/18,9,6,Crystal Palace,20,9,1,0,8,2,19,-17,3,4,1,0,3,2,7,-5,3,5,0,0,5,0,12,-12,0,R,EN_CH,Selhurst Park,London
2017/18,10,11,Manchester City,1,10,9,1,0,35,6,29,28,5,4,1,0,21,3,18,13,5,5,0,0,14,3,11,15,Q,EU_CL,Etihad Stadium,Manchester
2017/18,10,12,Manchester United,2,10,7,2,1,23,4,19,23,5,5,0,0,15,0,15,15,5,2,2,1,8,4,4,8,Q,EU_CL,Old Trafford,Manchester
2017/18,10,21,Tottenham Hotspur,3,10,6,2,2,19,7,12,20,5,2,2,1,7,4,3,8,5,4,0,1,12,3,9,12,Q,EU_CL,Wembley Stadium,London
2017/18,10,4,Chelsea,4,10,6,1,3,18,10,8,19,5,2,1,2,8,6,2,7,5,4,0,1,10,4,6,12,Q,EU_CL,Stamford Bridge,London
2017/18,10,1,Arsenal,5,10,6,1,3,19,13,6,19,5,5,0,0,13,4,9,15,5,1,1,3,6,9,-3,4,Q,EU_EL,Emirates Stadium,London
2017/18,10,10,Liverpool,6,10,4,4,2,17,16,1,16,5,3,2,0,9,1,8,11,5,1,2,2,8,15,-7,5,,,Anfield,Liverpool
2017/18,10,43,Burnley,7,10,4,4,2,9,9,0,16,5,2,2,1,3,2,1,8,5,2,2,1,6,7,-1,8,,,Turf Moor,Burnley
2017/18,10,33,Watford,8,10,4,3,3,15,18,-3,15,5,1,2,2,5,11,-6,5,5,3,1,1,10,7,3,10,,,Vicarage Road,Watford
2017/18,10,23,Newcastle United,9,10,4,2,4,10,9,1,14,5,3,1,1,7,4,3,10,5,1,1,3,3,5,-2,4,,,St. James' Park,Newcastle
2017/18,10,20,Southampton,10,10,3,4,3,9,10,-1,13,6,2,2,2,6,7,-1,8,4,1,2,1,3,3,0,5,,,St. Mary's Stadium,Southampton
2017/18,10,26,Leicester City,11,10,3,3,4,14,14,0,12,5,2,1,2,8,6,2,7,5,1,2,2,6,8,-2,5,,,King Power Stadium,Leicester
2017/18,10,131,Brighton & Hove Albion,12,10,3,3,4,10,11,-1,12,5,2,2,1,6,5,1,8,5,1,1,3,4,6,-2,4,,,AMEX Stadium,Falmer
2017/18,10,159,Huddersfield Town,13,10,3,3,4,7,13,-6,12,5,2,2,1,4,6,-2,8,5,1,1,3,3,7,-4,4,,,John Smith's Stadium,Huddersfield
2017/18,10,42,Stoke City,14,10,3,2,5,11,20,-9,11,5,2,1,2,6,9,-3,7,5,1,1,3,5,11,-6,4,,,Britannia Stadium,Stoke
2017/18,10,36,West Bromwich Albion,15,10,2,4,4,9,13,-4,10,5,1,3,1,6,6,0,6,5,1,1,3,3,7,-4,4,,,The Hawthorns,West Bromwich
2017/18,10,25,West Ham United,16,10,2,3,5,10,19,-9,9,4,2,0,2,5,6,-1,6,6,0,3,3,5,13,-8,3,,,London Stadium,London
2017/18,10,45,Swansea City,17,10,2,2,6,7,12,-5,8,5,1,0,4,4,9,-5,3,5,1,2,2,3,3,0,5,,,Liberty Stadium,Swansea
2017/18,10,7,Everton,18,10,2,2,6,7,20,-13,8,5,2,0,3,5,10,-5,6,5,0,2,3,2,10,-8,2,R,EN_CH,Goodison Park,Liverpool
2017/18,10,127,Bournemouth,19,10,2,1,7,6,14,-8,7,5,1,1,3,3,6,-3,4,5,1,0,4,3,8,-5,3,R,EN_CH,Vitality Stadium,Bournemouth
2017/18,10,6,Crystal Palace,20,10,1,1,8,4,21,-17,4,5,1,1,3,4,9,-5,4,5,0,0,5,0,12,-12,0,R,EN_CH,Selhurst Park,London
2017/18,11,11,Manchester City,1,11,10,1,0,38,7,31,31,6,5,1,0,24,4,20,16,5,5,0,0,14,3,11,15,Q,EU_CL,Etihad Stadium,Manchester
2017/18,11,12,Manchester United,2,11,7,2,2,23,5,18,23,5,5,0,0,15,0,15,15,6,2,2,2,8,5,3,8,Q,EU_CL,Old Trafford,Manchester
2017/18,11,21,Tottenham Hotspur,3,11,7,2,2,20,7,13,23,6,3,2,1,8,4,4,11,5,4,0,1,12,3,9,12,Q,EU_CL,Wembley Stadium,London
2017/18,11,4,Chelsea,4,11,7,1,3,19,10,9,22,6,3,1,2,9,6,3,10,5,4,0,1,10,4,6,12,Q,EU_CL,Stamford Bridge,London
2017/18,11,10,Liverpool,5,11,5,4,2,21,17,4,19,5,3,2,0,9,1,8,11,6,2,2,2,12,16,-4,8,Q,EU_EL,Anfield,Liverpool
2017/18,11,1,Arsenal,6,11,6,1,4,20,16,4,19,5,5,0,0,13,4,9,15,6,1,1,4,7,12,-5,4,,,Emirates Stadium,London
2017/18,11,43,Burnley,7,11,5,4,2,10,9,1,19,5,2,2,1,3,2,1,8,6,3,2,1,7,7,0,11,,,Turf Moor,Burnley
2017/18,11,131,Brighton & Hove Albion,8,11,4,3,4,11,11,0,15,5,2,2,1,6,5,1,8,6,2,1,3,5,6,-1,7,,,AMEX Stadium,Falmer
2017/18,11,33,Watford,9,11,4,3,4,17,21,-4,15,5,1,2,2,5,11,-6,5,6,3,1,2,12,10,2,10,,,Vicarage Road,Watford
2017/18,11,159,Huddersfield Town,10,11,4,3,4,8,13,-5,15,6,3,2,1,5,6,-1,11,5,1,1,3,3,7,-4,4,,,John Smith's Stadium,Huddersfield
2017/18,11,23,Newcastle United,11,11,4,2,5,10,10,0,14,6,3,1,2,7,5,2,10,5,1,1,3,3,5,-2,4,,,St. James' Park,Newcastle
2017/18,11,26,Leicester City,12,11,3,4,4,16,16,0,13,5,2,1,2,8,6,2,7,6,1,3,2,8,10,-2,6,,,King Power Stadium,Leicester
2017/18,11,20,Southampton,13,11,3,4,4,9,11,-2,13,7,2,2,3,6,8,-2,8,4,1,2,1,3,3,0,5,,,St. Mary's Stadium,Southampton
2017/18,11,42,Stoke City,14,11,3,3,5,13,22,-9,12,6,2,2,2,8,11,-3,8,5,1,1,3,5,11,-6,4,,,Britannia Stadium,Stoke
2017/18,11,7,Everton,15,11,3,2,6,10,22,-12,11,6,3,0,3,8,12,-4,9,5,0,2,3,2,10,-8,2,,,Goodison Park,Liverpool
2017/18,11,36,West Bromwich Albion,16,11,2,4,5,9,14,-5,10,5,1,3,1,6,6,0,6,6,1,1,4,3,8,-5,4,,,The Hawthorns,West Bromwich
2017/18,11,127,Bournemouth,17,11,3,1,7,7,14,-7,10,5,1,1,3,3,6,-3,4,6,2,0,4,4,8,-4,6,,,Vitality Stadium,Bournemouth
2017/18,11,25,West Ham United,18,11,2,3,6,11,23,-12,9,5,2,0,3,6,10,-4,6,6,0,3,3,5,13,-8,3,R,EN_CH,London Stadium,London
2017/18,11,45,Swansea City,19,11,2,2,7,7,13,-6,8,6,1,0,5,4,10,-6,3,5,1,2,2,3,3,0,5,R,EN_CH,Liberty Stadium,Swansea
2017/18,11,6,Crystal Palace,20,11,1,1,9,4,22,-18,4,5,1,1,3,4,9,-5,4,6,0,0,6,0,13,-13,0,R,EN_CH,Selhurst Park,London
2017/18,12,11,Manchester City,1,12,11,1,0,40,7,33,34,6,5,1,0,24,4,20,16,6,6,0,0,16,3,13,18,Q,EU_CL,Etihad Stadium,Manchester
2017/18,12,12,Manchester United,2,12,8,2,2,27,6,21,26,6,6,0,0,19,1,18,18,6,2,2,2,8,5,3,8,Q,EU_CL,Old Trafford,Manchester
2017/18,12,4,Chelsea,3,12,8,1,3,23,10,13,25,6,3,1,2,9,6,3,10,6,5,0,1,14,4,10,15,Q,EU_CL,Stamford Bridge,London
2017/18,12,21,Tottenham Hotspur,4,12,7,2,3,20,9,11,23,6,3,2,1,8,4,4,11,6,4,0,2,12,5,7,12,Q,EU_CL,Wembley Stadium,London
2017/18,12,10,Liverpool,5,12,6,4,2,24,17,7,22,6,4,2,0,12,1,11,14,6,2,2,2,12,16,-4,8,Q,EU_EL,Anfield,Liverpool
2017/18,12,1,Arsenal,6,12,7,1,4,22,16,6,22,6,6,0,0,15,4,11,18,6,1,1,4,7,12,-5,4,,,Emirates Stadium,London
2017/18,12,43,Burnley,7,12,6,4,2,12,9,3,22,6,3,2,1,5,2,3,11,6,3,2,1,7,7,0,11,,,Turf Moor,Burnley
2017/18,12,33,Watford,8,12,5,3,4,19,21,-2,18,6,2,2,2,7,11,-4,8,6,3,1,2,12,10,2,10,,,Vicarage Road,Watford
2017/18,12,131,Brighton & Hove Albion,9,12,4,4,4,13,13,0,16,6,2,3,1,8,7,1,9,6,2,1,3,5,6,-1,7,,,AMEX Stadium,Falmer
2017/18,12,159,Huddersfield Town,10,12,4,3,5,8,17,-9,15,6,3,2,1,5,6,-1,11,6,1,1,4,3,11,-8,4,,,John Smith's Stadium,Huddersfield
2017/18,12,23,Newcastle United,11,12,4,2,6,11,14,-3,14,6,3,1,2,7,5,2,10,6,1,1,4,4,9,-5,4,,,St. James' Park,Newcastle
2017/18,12,26,Leicester City,12,12,3,4,5,16,18,-2,13,6,2,1,3,8,8,0,7,6,1,3,2,8,10,-2,6,,,King Power Stadium,Leicester
2017/18,12,127,Bournemouth,13,12,4,1,7,11,14,-3,13,6,2,1,3,7,6,1,7,6,2,0,4,4,8,-4,6,,,Vitality Stadium,Bournemouth
2017/18,12,20,Southampton,14,12,3,4,5,9,14,-5,13,7,2,2,3,6,8,-2,8,5,1,2,2,3,6,-3,5,,,St. Mary's Stadium,Southampton
2017/18,12,42,Stoke City,15,12,3,4,5,15,24,-9,13,6,2,2,2,8,11,-3,8,6,1,2,3,7,13,-6,5,,,Britannia Stadium,Stoke
2017/18,12,7,Everton,16,12,3,3,6,12,24,-12,12,6,3,0,3,8,12,-4,9,6,0,3,3,4,12,-8,3,,,Goodison Park,Liverpool
2017/18,12,36,West Bromwich Albion,17,12,2,4,6,9,18,-9,10,6,1,3,2,6,10,-4,6,6,1,1,4,3,8,-5,4,,,The Hawthorns,West Bromwich
2017/18,12,25,West Ham United,18,12,2,3,7,11,25,-14,9,5,2,0,3,6,10,-4,6,7,0,3,4,5,15,-10,3,R,EN_CH,London Stadium,London
2017/18,12,45,Swansea City,19,12,2,2,8,7,15,-8,8,6,1,0,5,4,10,-6,3,6,1,2,3,3,5,-2,5,R,EN_CH,Liberty Stadium,Swansea
2017/18,12,6,Crystal Palace,20,12,1,2,9,6,24,-18,5,6,1,2,3,6,11,-5,5,6,0,0,6,0,13,-13,0,R,EN_CH,Selhurst Park,London
2017/18,13,11,Manchester City,1,13,12,1,0,42,8,34,37,6,5,1,0,24,4,20,16,7,7,0,0,18,4,14,21,Q,EU_CL,Etihad Stadium,Manchester
2017/18,13,12,Manchester United,2,13,9,2,2,28,6,22,29,7,7,0,0,20,1,19,21,6,2,2,2,8,5,3,8,Q,EU_CL,Old Trafford,Manchester
2017/18,13,4,Chelsea,3,13,8,2,3,24,11,13,26,6,3,1,2,9,6,3,10,7,5,1,1,15,5,10,16,Q,EU_CL,Stamford Bridge,London
2017/18,13,1,Arsenal,4,13,8,1,4,23,16,7,25,6,6,0,0,15,4,11,18,7,2,1,4,8,12,-4,7,Q,EU_CL,Emirates Stadium,London
2017/18,13,21,Tottenham Hotspur,5,13,7,3,3,21,10,11,24,7,3,3,1,9,5,4,12,6,4,0,2,12,5,7,12,Q,EU_EL,Wembley Stadium,London
2017/18,13,10,Liverpool,6,13,6,5,2,25,18,7,23,7,4,3,0,13,2,11,15,6,2,2,2,12,16,-4,8,,,Anfield,Liverpool
2017/18,13,43,Burnley,7,13,6,4,3,12,10,2,22,7,3,2,2,5,3,2,11,6,3,2,1,7,7,0,11,,,Turf Moor,Burnley
2017/18,13,33,Watford,8,13,6,3,4,22,21,1,21,6,2,2,2,7,11,-4,8,7,4,1,2,15,10,5,13,,,Vicarage Road,Watford
2017/18,13,131,Brighton & Hove Albion,9,13,4,4,5,13,14,-1,16,6,2,3,1,8,7,1,9,7,2,1,4,5,7,-2,7,,,AMEX Stadium,Falmer
2017/18,13,20,Southampton,10,13,4,4,5,13,15,-2,16,8,3,2,3,10,9,1,11,5,1,2,2,3,6,-3,5,,,St. Mary's Stadium,Southampton
2017/18,13,159,Huddersfield Town,11,13,4,3,6,9,19,-10,15,7,3,2,2,6,8,-2,11,6,1,1,4,3,11,-8,4,,,John Smith's Stadium,Huddersfield
2017/18,13,26,Leicester City,12,13,3,5,5,17,19,-2,14,6,2,1,3,8,8,0,7,7,1,4,2,9,11,-2,7,,,King Power Stadium,Leicester
2017/18,13,127,Bournemouth,13,13,4,2,7,11,14,-3,14,6,2,1,3,7,6,1,7,7,2,1,4,4,8,-4,7,,,Vitality Stadium,Bournemouth
2017/18,13,23,Newcastle United,14,13,4,2,7,11,17,-6,14,7,3,1,3,7,8,-1,10,6,1,1,4,4,9,-5,4,,,St. James' Park,Newcastle
2017/18,13,42,Stoke City,15,13,3,4,6,16,26,-10,13,6,2,2,2,8,11,-3,8,7,1,2,4,8,15,-7,5,,,Britannia Stadium,Stoke
2017/18,13,7,Everton,16,13,3,3,7,13,28,-15,12,6,3,0,3,8,12,-4,9,7,0,3,4,5,16,-11,3,,,Goodison Park,Liverpool
2017/18,13,36,West Bromwich Albion,17,13,2,5,6,10,19,-9,11,6,1,3,2,6,10,-4,6,7,1,2,4,4,9,-5,5,,,The Hawthorns,West Bromwich
2017/18,13,25,West Ham United,18,13,2,4,7,12,26,-14,10,6,2,1,3,7,11,-4,7,7,0,3,4,5,15,-10,3,R,EN_CH,London Stadium,London
2017/18,13,45,Swansea City,19,13,2,3,8,7,15,-8,9,7,1,1,5,4,10,-6,4,6,1,2,3,3,5,-2,5,R,EN_CH,Liberty Stadium,Swansea
2017/18,13,6,Crystal Palace,20,13,2,2,9,8,25,-17,8,7,2,2,3,8,12,-4,8,6,0,0,6,0,13,-13,0,R,EN_CH,Selhurst Park,London
2017/18,14,11,Manchester City,1,14,13,1,0,44,9,35,40,7,6,1,0,26,5,21,19,7,7,0,0,18,4,14,21,Q,EU_CL,Etihad Stadium,Manchester
2017/18,14,12,Manchester United,2,14,10,2,2,32,8,24,32,7,7,0,0,20,1,19,21,7,3,2,2,12,7,5,11,Q,EU_CL,Old Trafford,Manchester
2017/18,14,4,Chelsea,3,14,9,2,3,25,11,14,29,7,4,1,2,10,6,4,13,7,5,1,1,15,5,10,16,Q,EU_CL,Stamford Bridge,London
2017/18,14,1,Arsenal,4,14,9,1,4,28,16,12,28,7,7,0,0,20,4,16,21,7,2,1,4,8,12,-4,7,Q,EU_CL,Emirates Stadium,London
2017/18,14,10,Liverpool,5,14,7,5,2,28,18,10,26,7,4,3,0,13,2,11,15,7,3,2,2,15,16,-1,11,Q,EU_EL,Anfield,Liverpool
2017/18,14,43,Burnley,6,14,7,4,3,14,11,3,25,7,3,2,2,5,3,2,11,7,4,2,1,9,8,1,14,,,Turf Moor,Burnley
2017/18,14,21,Tottenham Hotspur,7,14,7,3,4,22,12,10,24,7,3,3,1,9,5,4,12,7,4,0,3,13,7,6,12,,,Wembley Stadium,London
2017/18,14,33,Watford,8,14,6,3,5,24,25,-1,21,7,2,2,3,9,15,-6,8,7,4,1,2,15,10,5,13,,,Vicarage Road,Watford
2017/18,14,26,Leicester City,9,14,4,5,5,19,20,-1,17,7,3,1,3,10,9,1,10,7,1,4,2,9,11,-2,7,,,King Power Stadium,Leicester
2017/18,14,131,Brighton & Hove Albion,10,14,4,5,5,13,14,-1,17,7,2,4,1,8,7,1,10,7,2,1,4,5,7,-2,7,,,AMEX Stadium,Falmer
2017/18,14,20,Southampton,11,14,4,4,6,14,17,-3,16,8,3,2,3,10,9,1,11,6,1,2,3,4,8,-4,5,,,St. Mary's Stadium,Southampton
2017/18,14,23,Newcastle United,12,14,4,3,7,13,19,-6,15,7,3,1,3,7,8,-1,10,7,1,2,4,6,11,-5,5,,,St. James' Park,Newcastle
2017/18,14,7,Everton,13,14,4,3,7,17,28,-11,15,7,4,0,3,12,12,0,12,7,0,3,4,5,16,-11,3,,,Goodison Park,Liverpool
2017/18,14,159,Huddersfield Town,14,14,4,3,7,9,24,-15,15,7,3,2,2,6,8,-2,11,7,1,1,5,3,16,-13,4,,,John Smith's Stadium,Huddersfield
2017/18,14,127,Bournemouth,15,14,4,2,8,12,16,-4,14,7,2,1,4,8,8,0,7,7,2,1,4,4,8,-4,7,,,Vitality Stadium,Bournemouth
2017/18,14,42,Stoke City,16,14,3,4,7,16,29,-13,13,7,2,2,3,8,14,-6,8,7,1,2,4,8,15,-7,5,,,Britannia Stadium,Stoke
2017/18,14,36,West Bromwich Albion,17,14,2,6,6,12,21,-9,12,7,1,4,2,8,12,-4,7,7,1,2,4,4,9,-5,5,,,The Hawthorns,West Bromwich
2017/18,14,25,West Ham United,18,14,2,4,8,12,30,-18,10,6,2,1,3,7,11,-4,7,8,0,3,5,5,19,-14,3,R,EN_CH,London Stadium,London
2017/18,14,45,Swansea City,19,14,2,3,9,7,16,-9,9,7,1,1,5,4,10,-6,4,7,1,2,4,3,6,-3,5,R,EN_CH,Liberty Stadium,Swansea
2017/18,14,6,Crystal Palace,20,14,2,3,9,8,25,-17,9,7,2,2,3,8,12,-4,8,7,0,1,6,0,13,-13,1,R,EN_CH,Selhurst Park,London
2017/18,15,11,Manchester City,1,15,14,1,0,46,10,36,43,8,7,1,0,28,6,22,22,7,7,0,0,18,4,14,21,Q,EU_CL,Etihad Stadium,Manchester
2017/18,15,12,Manchester United,2,15,11,2,2,35,9,26,35,7,7,0,0,20,1,19,21,8,4,2,2,15,8,7,14,Q,EU_CL,Old Trafford,Manchester
2017/18,15,4,Chelsea,3,15,10,2,3,28,12,16,32,8,5,1,2,13,7,6,16,7,5,1,1,15,5,10,16,Q,EU_CL,Stamford Bridge,London
2017/18,15,10,Liverpool,4,15,8,5,2,33,19,14,29,7,4,3,0,13,2,11,15,8,4,2,2,20,17,3,14,Q,EU_CL,Anfield,Liverpool
2017/18,15,1,Arsenal,5,15,9,1,5,29,19,10,28,8,7,0,1,21,7,14,21,7,2,1,4,8,12,-4,7,Q,EU_EL,Emirates Stadium,London
2017/18,15,21,Tottenham Hotspur,6,15,7,4,4,23,13,10,25,7,3,3,1,9,5,4,12,8,4,1,3,14,8,6,13,,,Wembley Stadium,London
2017/18,15,43,Burnley,7,15,7,4,4,14,12,2,25,7,3,2,2,5,3,2,11,8,4,2,2,9,9,0,14,,,Turf Moor,Burnley
2017/18,15,33,Watford,8,15,6,4,5,25,26,-1,22,8,2,3,3,10,16,-6,9,7,4,1,2,15,10,5,13,,,Vicarage Road,Watford
2017/18,15,26,Leicester City,9,15,5,5,5,20,20,0,20,8,4,1,3,11,9,2,13,7,1,4,2,9,11,-2,7,,,King Power Stadium,Leicester
2017/18,15,7,Everton,10,15,5,3,7,19,28,-9,18,8,5,0,3,14,12,2,15,7,0,3,4,5,16,-11,3,,,Goodison Park,Liverpool
2017/18,15,20,Southampton,11,15,4,5,6,15,18,-3,17,8,3,2,3,10,9,1,11,7,1,3,3,5,9,-4,6,,,St. Mary's Stadium,Southampton
2017/18,15,131,Brighton & Hove Albion,12,15,4,5,6,14,19,-5,17,8,2,4,2,9,12,-3,10,7,2,1,4,5,7,-2,7,,,AMEX Stadium,Falmer
2017/18,15,42,Stoke City,13,15,4,4,7,18,30,-12,16,8,3,2,3,10,15,-5,11,7,1,2,4,8,15,-7,5,,,Britannia Stadium,Stoke
2017/18,15,127,Bournemouth,14,15,4,3,8,13,17,-4,15,8,2,2,4,9,9,0,8,7,2,1,4,4,8,-4,7,,,Vitality Stadium,Bournemouth
2017/18,15,23,Newcastle United,15,15,4,3,8,14,22,-8,15,7,3,1,3,7,8,-1,10,8,1,2,5,7,14,-7,5,,,St. James' Park,Newcastle
2017/18,15,159,Huddersfield Town,16,15,4,3,8,9,26,-17,15,7,3,2,2,6,8,-2,11,8,1,1,6,3,18,-15,4,,,John Smith's Stadium,Huddersfield
2017/18,15,36,West Bromwich Albion,17,15,2,7,6,12,21,-9,13,8,1,5,2,8,12,-4,8,7,1,2,4,4,9,-5,5,,,The Hawthorns,West Bromwich
2017/18,15,6,Crystal Palace,18,15,2,4,9,8,25,-17,10,7,2,2,3,8,12,-4,8,8,0,2,6,0,13,-13,2,R,EN_CH,Selhurst Park,London
2017/18,15,25,West Ham United,19,15,2,4,9,13,32,-19,10,6,2,1,3,7,11,-4,7,9,0,3,6,6,21,-15,3,R,EN_CH,London Stadium,London
2017/18,15,45,Swansea City,20,15,2,3,10,8,18,-10,9,7,1,1,5,4,10,-6,4,8,1,2,5,4,8,-4,5,R,EN_CH,Liberty Stadium,Swansea
2017/18,16,11,Manchester City,1,16,15,1,0,48,11,37,46,8,7,1,0,28,6,22,22,8,8,0,0,20,5,15,24,Q,EU_CL,Etihad Stadium,Manchester
2017/18,16,12,Manchester United,2,16,11,2,3,36,11,25,35,8,7,0,1,21,3,18,21,8,4,2,2,15,8,7,14,Q,EU_CL,Old Trafford,Manchester
2017/18,16,4,Chelsea,3,16,10,2,4,28,13,15,32,8,5,1,2,13,7,6,16,8,5,1,2,15,6,9,16,Q,EU_CL,Stamford Bridge,London
2017/18,16,10,Liverpool,4,16,8,6,2,34,20,14,30,8,4,4,0,14,3,11,16,8,4,2,2,20,17,3,14,Q,EU_CL,Anfield,Liverpool
2017/18,16,1,Arsenal,5,16,9,2,5,30,20,10,29,8,7,0,1,21,7,14,21,8,2,2,4,9,13,-4,8,Q,EU_EL,Emirates Stadium,London
2017/18,16,21,Tottenham Hotspur,6,16,8,4,4,28,14,14,28,8,4,3,1,14,6,8,15,8,4,1,3,14,8,6,13,,,Wembley Stadium,London
2017/18,16,43,Burnley,7,16,8,4,4,15,12,3,28,8,4,2,2,6,3,3,14,8,4,2,2,9,9,0,14,,,Turf Moor,Burnley
2017/18,16,26,Leicester City,8,16,6,5,5,23,22,1,23,8,4,1,3,11,9,2,13,8,2,4,2,12,13,-1,10,,,King Power Stadium,Leicester
2017/18,16,33,Watford,9,16,6,4,6,25,27,-2,22,8,2,3,3,10,16,-6,9,8,4,1,3,15,11,4,13,,,Vicarage Road,Watford
2017/18,16,7,Everton,10,16,5,4,7,20,29,-9,19,8,5,0,3,14,12,2,15,8,0,4,4,6,17,-11,4,,,Goodison Park,Liverpool
2017/18,16,20,Southampton,11,16,4,6,6,16,19,-3,18,9,3,3,3,11,10,1,12,7,1,3,3,5,9,-4,6,,,St. Mary's Stadium,Southampton
2017/18,16,159,Huddersfield Town,12,16,5,3,8,11,26,-15,18,8,4,2,2,8,8,0,14,8,1,1,6,3,18,-15,4,,,John Smith's Stadium,Huddersfield
2017/18,16,131,Brighton & Hove Albion,13,16,4,5,7,14,21,-7,17,8,2,4,2,9,12,-3,10,8,2,1,5,5,9,-4,7,,,AMEX Stadium,Falmer
2017/18,16,127,Bournemouth,14,16,4,4,8,15,19,-4,16,8,2,2,4,9,9,0,8,8,2,2,4,6,10,-4,8,,,Vitality Stadium,Bournemouth
2017/18,16,42,Stoke City,15,16,4,4,8,19,35,-16,16,8,3,2,3,10,15,-5,11,8,1,2,5,9,20,-11,5,,,Britannia Stadium,Stoke
2017/18,16,23,Newcastle United,16,16,4,3,9,16,25,-9,15,8,3,1,4,9,11,-2,10,8,1,2,5,7,14,-7,5,,,St. James' Park,Newcastle
2017/18,16,36,West Bromwich Albion,17,16,2,7,7,12,22,-10,13,8,1,5,2,8,12,-4,8,8,1,2,5,4,10,-6,5,,,The Hawthorns,West Bromwich
2017/18,16,25,West Ham United,18,16,3,4,9,14,32,-18,13,7,3,1,3,8,11,-3,10,9,0,3,6,6,21,-15,3,R,EN_CH,London Stadium,London
2017/18,16,45,Swansea City,19,16,3,3,10,9,18,-9,12,8,2,1,5,5,10,-5,7,8,1,2,5,4,8,-4,5,R,EN_CH,Liberty Stadium,Swansea
2017/18,16,6,Crystal Palace,20,16,2,5,9,10,27,-17,11,8,2,3,3,10,14,-4,9,8,0,2,6,0,13,-13,2,R,EN_CH,Selhurst Park,London
2017/18,17,11,Manchester City,1,17,16,1,0,52,11,41,49,8,7,1,0,28,6,22,22,9,9,0,0,24,5,19,27,Q,EU_CL,Etihad Stadium,Manchester
2017/18,17,12,Manchester United,2,17,12,2,3,37,11,26,38,9,8,0,1,22,3,19,24,8,4,2,2,15,8,7,14,Q,EU_CL,Old Trafford,Manchester
2017/18,17,4,Chelsea,3,17,11,2,4,31,14,17,35,8,5,1,2,13,7,6,16,9,6,1,2,18,7,11,19,Q,EU_CL,Stamford Bridge,London
